,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
3 to 5 Preschool ,,,950.0,1675.0,2125.0,3100.0,3500.0,5200.0,3650.0,2875.0,2875.0,25950.0
4 H Tanana District Leaders Council,,,,,575.0,550.0,875.0,1550.0,1822.0,700.0,525.0,6597.0
49 Writers Inc,,,,,,,2125.0,2425.0,2300.0,2500.0,1875.0,11225.0
AAFA Alaska,,,,,950.0,1000.0,1600.0,1250.0,1575.0,600.0,,6975.0
Abbott O Rabbit Little League,,450.0,375.0,1025.0,,800.0,,1175.0,825.0,950.0,575.0,6175.0
ABC Pregnancy Care Center,,,,,,,,5175.0,3500.0,2425.0,3525.0,14625.0
Abused Womens Aid in Crisis Inc AWAIC,,4825.0,21200.0,28375.0,54681.0,57960.0,69001.8,80050.0,68819.0,63171.0,66250.0,514332.8
Academy Charter School,,,,,,1000.0,1350.0,900.0,875.0,550.0,925.0,5600.0
Access Alaska Inc,,,,,,,,,4175.0,,4875.0,9050.0
ACLU of Alaska Foundation,,2300.0,4075.0,6275.0,9153.0,9250.0,10550.0,12625.0,9897.0,31800.0,19025.0,114950.0
ACMHS Anchorage Community Mental Health Services,,75.0,,,4128.0,4075.0,5075.0,5400.0,5997.0,4750.0,,29500.0
Adult Learning Center ALC,,,,,,,2187.42,1900.0,1475.0,1375.0,1175.0,8112.42
Advocates For Victims of Violence Inc,,200.0,,,4803.0,2875.0,1950.0,5525.0,4725.0,2900.0,2875.0,25853.0
AFACT Anchorage Faith and Action Congregations Together,,1250.0,2200.0,3650.0,2975.0,5425.0,3625.0,4075.0,3625.0,2700.0,2475.0,32000.0
AK Child Family,,1725.0,4150.0,8625.0,8528.0,9230.0,9875.0,9825.0,12500.0,10350.0,10275.0,85083.0
Akeela Inc,,,,,,1230.0,,1600.0,1350.0,1025.0,900.0,6105.0
Alaska Academic Decathlon,,,,,,,,,,,1100.0,1100.0
Alaska Animal Advocates,,,,,,,,,,,3375.0,3375.0
Alaska Arts and Culture Foundation,,,300.0,,,900.0,1400.0,,450.0,1425.0,1925.0,6400.0
Alaska Arts Education Consortium,,950.0,875.0,2225.0,2175.0,2075.0,,2900.0,2275.0,2300.0,1975.0,17750.0
Alaska Association For Historic Preservation,,200.0,400.0,425.0,,,,,975.0,975.0,850.0,3825.0
Alaska Association For Infant and Early Childhood Mental Health,,,,,,,,,,2975.0,1975.0,4950.0
Alaska Avalanche Information Center AAIC,,,,,,,,,,,5325.0,5325.0
Alaska Avalanche School,,,,,,,,4725.0,5500.0,4300.0,3875.0,18400.0
Alaska Aviation Heritage Museum,,825.0,1350.0,8450.0,5389.0,,5842.0,7475.0,5533.0,4750.0,4275.0,43889.0
Alaska Baseball Academy Inc,,1325.0,75.0,,125.0,50.0,325.0,250.0,450.0,225.0,,2825.0
Alaska Bible College,,,,,,2275.0,2250.0,3600.0,2350.0,2350.0,2250.0,15075.0
Alaska Botanical Garden,,,,,,,6820.06,8475.0,8597.0,7075.0,5875.0,36842.06
Alaska Boxing Academy ,,,,,,,,,,,,
Alaska Brain Injury Network,,725.0,,,4053.0,,5025.0,4739.4,3847.0,3000.0,2575.0,23964.4
Alaska Branch of the International Dyslexia Association,,,,,,775.0,,925.0,750.0,500.0,500.0,3450.0
Alaska Business Development Center,,,,,,,,,50.0,1025.0,,1075.0
Alaska Cardiovascular Research Foundation INC,,,,,,,,,,,550.0,550.0
Alaska Cat Adoption Team,,,,,,,4000.0,4964.4,5350.0,7175.0,9525.0,31014.4
Alaska Center for Children and Adults   ,,700.0,1950.0,3100.0,4400.0,4675.0,4825.0,6425.0,6100.0,6200.0,4150.0,42525.0
Alaska Center for Collaborative Child Therapy Inc,,,,,,,,,2625.0,1725.0,1625.0,5975.0
Alaska Center for the Blind and Visually Impaired,,1875.0,3050.0,5275.0,7840.0,10350.0,11725.0,11150.0,7722.0,6600.0,6000.0,71587.0
Alaska Center for the Performing Arts,,750.0,1675.0,2750.0,4778.0,3775.0,5400.0,2075.0,5711.0,,3275.0,30189.0
Alaska Chamber Singers,,825.0,1475.0,1775.0,2075.0,1925.0,1900.0,2000.0,1800.0,1825.0,1775.0,17375.0
Alaska Childrens Trust,,1225.0,600.0,1125.0,2550.0,2075.0,,6664.4,5450.0,5025.0,5198.2,29912.6
Alaska Chilkoot Bear Foundation,,,,,,475.0,,300.0,550.0,375.0,400.0,2100.0
Alaska Christian College,,,,,5257.0,7000.0,4650.0,5675.0,6550.0,3300.0,4075.0,36507.0
Alaska Common Ground,,,,,,,,,,,775.0,775.0
Alaska Community Action on Toxics,,,,,,,,3050.0,3800.0,3250.0,3575.0,13675.0
Alaska Correctional Ministries Inc,,,,,,,,,2700.0,1475.0,1975.0,6150.0
Alaska Dog and Puppy Rescue,,17275.0,24475.0,41800.0,58425.0,57260.0,52375.0,60550.0,50054.4,39950.0,36275.0,438439.4
Alaska Engineering Education Foundation,,,,,900.0,1500.0,2125.0,2425.0,2497.0,1025.0,1575.0,12047.0
Alaska Equine Rescue,,,,3675.0,8153.0,10075.0,10700.0,14689.4,10900.0,7945.94,8225.0,74363.34
Alaska Family Services,,225.0,1150.0,2125.0,2500.0,3350.0,3250.0,3875.0,3436.0,2250.0,2600.0,24761.0
Alaska Farmland Trust,,,1100.0,2450.0,1900.0,,3625.0,3600.0,4872.0,6550.0,5825.0,29922.0
Alaska FFA Association,,,,,,,,,950.0,975.0,,1925.0
Alaska Fish and Wildlife Conservation Fund ,,,,,3250.0,,3575.0,6825.0,7350.0,7900.0,6225.0,35125.0
Alaska Fisheries Development Foundation Inc,,,,,,,,,1075.0,850.0,1000.0,2925.0
Bartlett Regional Hospital Foundation,,200.0,100.0,6150.0,1225.0,1550.0,825.0,3125.0,622.0,1700.0,,15497.0
Battle Dawgs,,,,,,,,,,,,
Beacon Hill,,,,,,2275.0,1275.0,,2825.0,3525.0,5125.0,15025.0
Beans Cafe Inc,,19575.0,27975.0,59825.0,94621.0,111288.92,133357.12,142250.0,114427.22,102275.0,85850.0,891444.26
Beckys Place ,,,,,,,,,1475.0,1250.0,1525.0,4250.0
Benefe Equine Assisted Therapy Center,,,275.0,700.0,1300.0,1000.0,1050.0,925.0,825.0,875.0,,6950.0
Bering Sea Womens Group ,,500.0,1575.0,,,,,,1225.0,1225.0,1650.0,6175.0
Bering Straits Foundation,,,,,,,,,,,,
Best Beginnings,,,,,,,,,5275.0,3950.0,3550.0,12775.0
Bethel Baptist Church,,,,,,,,,,,,
Bethel Family Clinic,,,,,,300.0,500.0,925.0,800.0,750.0,1000.0,4275.0
Bethel Friends of Canines,,,,,,,,,,4975.0,5850.0,10825.0
Bethel Search and Rescue,,,,,,,,,,4275.0,5225.0,9500.0
Big Brothers Big Sisters of Alaska,,8025.0,7900.0,19725.0,16553.0,17475.0,18526.8,16600.0,16044.0,12450.0,13125.0,146423.8
Big Lake Library Advocates,,,,,950.0,675.0,825.0,1025.0,1122.0,950.0,1000.0,6547.0
Bike Anchorage,,,,,,2850.0,4375.0,7175.0,8125.0,5775.0,5375.0,33675.0
Birchtree Parents Guild Inc,,,,,,725.0,,450.0,,2300.0,1650.0,5125.0
Birchwood Behavioral Health,,,,1375.0,1850.0,2325.0,3400.0,3750.0,2150.0,1250.0,1000.0,17100.0
Bird Treatment and Learning Center ,,,,,8975.0,12025.0,16500.0,14150.0,14722.0,14000.0,10993.0,91365.0
Blood Bank of Alaska,,2450.0,2175.0,6975.0,6939.0,7675.0,,14200.0,9675.0,6850.0,6025.0,62964.0
Blood N Fire,,,,,1375.0,4425.0,4025.0,6600.0,4425.0,2175.0,1925.0,24950.0
Boys and Girls Club of the Kenai Peninsula,,800.0,7650.0,2500.0,3925.0,3950.0,3875.0,5325.0,4925.0,4375.0,3350.0,40675.0
Boys and Girls Clubs Alaska,,4775.0,3750.0,8325.0,6725.0,8400.0,11350.0,12750.0,11750.0,10325.0,11225.0,89375.0
Brave Heart Volunteers,,2025.0,2700.0,3450.0,4575.0,4350.0,7025.0,6750.0,5125.0,4025.0,4575.0,44600.0
Bread Line Stone Soup,,,,7150.0,7478.0,6625.0,10025.0,13350.0,,9225.0,7975.0,61828.0
Breast Cancer Detection Center of Alaska ,,,4350.0,7075.0,7603.0,7500.0,8300.0,9400.0,7125.0,5025.0,5025.0,61403.0
Bristol Bay Heritage Land Trust,,,,,,,1250.0,1750.0,1375.0,1050.0,1125.0,6550.0
Brother Francis Shelter Kodiak Inc,,,,,,,,,,3075.0,2900.0,5975.0
Bunnell Street Arts Center,,325.0,800.0,1300.0,2150.0,4625.0,3350.0,3825.0,2497.0,3438.35,2950.0,25260.35
Calypso Farm and Ecology Center,,1775.0,2850.0,5700.0,7575.0,6775.0,,,4675.0,2725.0,2150.0,34225.0
Camp Fire Alaska,,1425.0,1625.0,3275.0,5878.0,5250.0,7475.0,6550.0,6400.0,4475.0,4350.0,46703.0
Cancer Connection,,1000.0,3100.0,5225.0,8525.0,7125.0,7125.0,7750.0,6875.0,5075.0,6225.0,58025.0
Carol Brice Center ,,500.0,550.0,925.0,,,,1400.0,950.0,1450.0,525.0,6300.0
Castle Mountain Coalition ,,,,,,,,,1025.0,525.0,750.0,2300.0
Catholic Community Service Inc,,7150.0,10325.0,4600.0,9150.0,8175.0,,17600.0,15300.0,9650.0,10725.0,92675.0
Catholic Schools of Fairbanks,,,,,,,,,6047.0,6225.0,5525.0,17797.0
Catholic Social Services Brother Francis Shelter Clare House,,13875.0,16800.0,31425.0,43939.0,51069.0,75325.0,87900.0,74151.0,62600.0,54075.0,511159.0
CCS Early Learning,,1250.0,2175.0,3100.0,4425.0,4900.0,5400.0,8350.0,5475.0,3875.0,4950.0,43900.0
Center for Alaskan Coastal Studies,,400.0,375.0,1200.0,2803.0,,3150.0,3875.0,,2950.0,2800.0,17553.0
Central Peninsula Health Foundation,,200.0,,2075.0,428.0,650.0,,1950.0,1100.0,775.0,625.0,7803.0
Challenge Alaska,,1600.0,4175.0,6900.0,7575.0,9450.0,10975.0,12700.0,12201.4,9125.0,11075.0,85776.4
